,Country,Deaths / million,Deaths,Cases
204,Benin,13,163,27216
205,Tajikistan,12,125,17786
206,Niger,12,310,9031
207,South Sudan,12,138,17733
208,Chad,11,193,7426
209,China[c],3,5226,892630
210,Burundi,3,38,42836
211,Macau,3,2,621
212,North Korea,0,6,1
213,Falkland Islands,—,—,1831
214,Vatican City,—,0,29
215,Federated States of Micronesia,—,0,38
216,"Saint Helena, Ascension and Tristan da Cunha",—,—,4
217,Marshall Islands,—,—,47
